Date : 2021-12-06 19:36:33
Directory : c:\Users\munbo\0001ft\fso2021-practice-work
Total : 76 files,  43079 codes, 271 comments, 358 blanks, all 43708 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\modeSwitchReducer.ts                 | TypeScript       |         17 |          0 |          3 |         20 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\sidebarReducer.tsx                   | TypeScript React |         18 |          0 |          3 |         21 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\reducers\userLoggedReducer.ts                 | TypeScript       |         30 |          0 |          4 |         34 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\styles\styles.tsx                             | TypeScript React |         11 |          0 |          3 |         14 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\types.ts                                      | TypeScript       |         58 |          0 |          9 |         67 |
| c:\Users\munbo\0001ft\fso2021-practice-work\frontend\tsconfig.json                                     | JSON             |         30 |          0 |          1 |         31 |
| c:\Users\munbo\0001ft\fso2021-practice-work\index.js                                                   | JavaScript       |         70 |          1 |          1 |         72 |
| c:\Users\munbo\0001ft\fso2021-practice-work\package-lock.json                                          | JSON             |      8,127 |          0 |          1 |      8,128 |
| c:\Users\munbo\0001ft\fso2021-practice-work\package.json                                               | JSON             |         85 |          0 |          1 |         86 |
| c:\Users\munbo\0001ft\fso2021-practice-work\src\models\stock.js                                        | JavaScript       |         19 |          0 |          1 |         20 |
| c:\Users\munbo\0001ft\fso2021-practice-work\src\models\transaction.js                                  | JavaScript       |         31 |          0 |          1 |         32 |
| c:\Users\munbo\0001ft\fso2021-practice-work\src\models\user.js                                         | JavaScript       |         46 |          0 |          1 |         47 |
| c:\Users\munbo\0001ft\fso2021-practice-work\src\resolvers.js                                           | JavaScript       |        117 |          2 |          1 |        120 |
| c:\Users\munbo\0001ft\fso2021-practice-work\src\typeDefs.js                                            | JavaScript       |         54 |          0 |          7 |         61 |
| c:\Users\munbo\0001ft\fso2021-practice-work\src\types.js                                               | JavaScript       |          7 |          0 |          1 |          8 |
| Total                                                                                                  |                  |     43,079 |        271 |        358 |     43,708 |
+--------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
