"filename", "language", "JSON", "JavaScript", "TypeScript", "TypeScript React", "HTML", "Markdown", "YAML", "comment", "blank", "total"
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\public\manifest.json", "JSON", 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\App.tsx", "TypeScript React", 0, 0, 0, 101, 0, 0, 0, 0, 4, 105
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\ActionsPage\ActionsPage.tsx", "TypeScript React", 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\ExplorePage\ExplorePage.tsx", "TypeScript React", 0, 0, 0, 162, 0, 0, 0, 0, 19, 181
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\ExplorePage\SpecificExplore.tsx", "TypeScript React", 0, 0, 0, 155, 0, 0, 0, 0, 6, 161
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\LoginRoute\LoginForm.tsx", "TypeScript React", 0, 0, 0, 116, 0, 0, 0, 0, 7, 123
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\LoginRoute\LoginPage.tsx", "TypeScript React", 0, 0, 0, 41, 0, 0, 0, 0, 3, 44
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\LoginRoute\SignUpForm.tsx", "TypeScript React", 0, 0, 0, 168, 0, 0, 0, 0, 4, 172
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\AnalysisChart.tsx", "TypeScript React", 0, 0, 0, 173, 0, 0, 0, 0, 8, 181
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\AnalysisTable.tsx", "TypeScript React", 0, 0, 0, 106, 0, 0, 0, 0, 3, 109
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\MyProfile.tsx", "TypeScript React", 0, 0, 0, 375, 0, 0, 0, 0, 15, 390
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\OldData.tsx", "TypeScript React", 0, 0, 0, 175, 0, 0, 0, 0, 10, 185
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyProfileRoute\TransactionList.tsx", "TypeScript React", 0, 0, 0, 138, 0, 0, 0, 0, 7, 145
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyStocksRoute\BuyStocks.tsx", "TypeScript React", 0, 0, 0, 309, 0, 0, 0, 2, 13, 324
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyStocksRoute\MainChart.tsx", "TypeScript React", 0, 0, 0, 94, 0, 0, 0, 0, 7, 101
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\MyStocksRoute\StockPage.tsx", "TypeScript React", 0, 0, 0, 68, 0, 0, 0, 0, 4, 72
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\AppBar.tsx", "TypeScript React", 0, 0, 0, 106, 0, 0, 0, 0, 8, 114
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\DefaultPage.tsx", "TypeScript React", 0, 0, 0, 29, 0, 0, 0, 0, 3, 32
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\LoadingAnimation.tsx", "TypeScript React", 0, 0, 0, 19, 0, 0, 0, 0, 3, 22
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\Notification.tsx", "TypeScript React", 0, 0, 0, 22, 0, 0, 0, 0, 3, 25
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\SideBar.tsx", "TypeScript React", 0, 0, 0, 95, 0, 0, 0, 0, 4, 99
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\components\Other\helpers.ts", "TypeScript", 0, 0, 88, 0, 0, 0, 0, 0, 9, 97
"c:\Users\munbo\0001ft\fso2021-practice-work\frontend\src\graphql\queries.ts", "TypeScript", 0, 0, 202, 0, 0, 0, 0, 0, 19, 221
